,id,title,popularity,overview,tagline,keywords,cast,genres,combined
10,687,Dead Man Walking,6.891317,sister helen prejean execution susan sarandon justice,,injection petition and lethal electric prison penalty chair therapist mercy right justice cowardliness family man socially court hate cell case charity despair sentence forgiveness rage begnadigung doomed death row rape deprived unsociability selfdiscovery,susansarandon seanpenn robertprosky raymondjbarry rleeermey celiaweston loissmith scottwilson robertamaxwell margomartindale jackblack rayaranha petersarsgaard bartonheyman steveboles nesbittblaisdell larrypine kevincooney clancybrown michaelcullen missyyager jennykrochmal jonabrahams arthurbridgers stevecarlisle evaamurrimartino jackhenryrobbins dennisneal mollybryant adelerobbins peteburris joanglover lenorebanks scottsowers corteznancejr adamnelson jeremyknaster marcuslylebrown anthonymichaelfrederick thomasmcgowan codiescott helenprejean,drama,sister helen prejean execution susan sarandon justice  injection petition and lethal electric prison penalty chair therapist mercy right justice cowardliness family man socially court hate cell case charity despair sentence forgiveness rage begnadigung doomed death row rape deprived unsociability selfdiscovery susansarandon seanpenn robertprosky raymondjbarry rleeermey celiaweston loissmith scottwilson robertamaxwell margomartindale jackblack rayaranha petersarsgaard bartonheyman steveboles nesbittblaisdell larrypine kevincooney clancybrown michaelcullen missyyager jennykrochmal jonabrahams arthurbridgers stevecarlisle evaamurrimartino jackhenryrobbins dennisneal mollybryant adelerobbins peteburris joanglover lenorebanks scottsowers corteznancejr adamnelson jeremyknaster marcuslylebrown anthonymichaelfrederick thomasmcgowan codiescott helenprejean drama
11,577,To Die For,10.448481,independent director gus van sant brilliant nicole,little attention wanted,new obsession adultery television winter narcissistic personality hampshire disorder,nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadouglas alisonfolland danhedaya wayneknight davidcronenberg kurtwoodsmith hollandtaylor susantraylor mariatucci timhopper,fantasy drama comedy thriller,independent director gus van sant brilliant nicole little attention wanted new obsession adultery television winter narcissistic personality hampshire disorder nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadouglas alisonfolland danhedaya wayneknight davidcronenberg kurtwoodsmith hollandtaylor susantraylor mariatucci timhopper fantasy drama comedy thriller
12,2054,Mr. Holland's Opus,7.137117,holland 1965 passionate musician glenn takes high,one changed lives,apprentice life mentor composer disabled private deafmute music musical,richarddreyfuss glenneheadly jaythomas olympiadukakis williamhmacy aliciawitt nicholasjohnrenner josephanderson anthonynatale jeanlouisakelly terrencehoward damonwhitaker alexandraboyd joannagleason bethmaitland joshuaminnick,music drama family,holland 1965 passionate musician glenn takes high one changed lives apprentice life mentor composer disabled private deafmute music musical richarddreyfuss glenneheadly jaythomas olympiadukakis williamhmacy aliciawitt nicholasjohnrenner josephanderson anthonynatale jeanlouisakelly terrencehoward damonwhitaker alexandraboyd joannagleason bethmaitland joshuaminnick music drama family
13,4482,French Twist,2.518051,husbands infidelities housewife invites itinerant lesbian none,,director triangle woman trois a estate van agent southern menage france love,victoriaabril josianebalasko alainchabat tickyholgado catherinehiegel katrineboorman telscheboorman véroniquebarrault,comedy romance,husbands infidelities housewife invites itinerant lesbian none  director triangle woman trois a estate van agent southern menage france love victoriaabril josianebalasko alainchabat tickyholgado catherinehiegel katrineboorman telscheboorman véroniquebarrault comedy romance
14,755,From Dusk Till Dawn,15.339153,bloody bank robbery dusk till dawn younger,night one freedom,boa extreme nudity hostage female entertainer spurting robber eroticism sexual crucifix preacher store constrictor stripper priest dancing blood violence mexican sheriff vehicle holy recreational bank siege american obsession border relationship showdown vampire explosion situation robbery brother nightclub convenience water,georgeclooney quentintarantino harveykeitel juliettelewis ernestliu salmahayek cheechmarin dannytrejo tomsavini fredwilliamson michaelparks brendahillhouse johnsaxon marclawrence kellypreston johnhawkes titolarriva peteratanasoff johnnyvatoshernandez aimeegraham heidimcneal ernestmgarcia gregorynicotero cristos mikemoroff tiatexada janinejordae ungelabrockman michelleberube michaelmckay jakemckinnon walterphelan waynetoth,horror action thriller crime,bloody bank robbery dusk till dawn younger night one freedom boa extreme nudity hostage female entertainer spurting robber eroticism sexual crucifix preacher store constrictor stripper priest dancing blood violence mexican sheriff vehicle holy recreational bank siege american obsession border relationship showdown vampire explosion situation robbery brother nightclub convenience water georgeclooney quentintarantino harveykeitel juliettelewis ernestliu salmahayek cheechmarin dannytrejo tomsavini fredwilliamson michaelparks brendahillhouse johnsaxon marclawrence kellypreston johnhawkes titolarriva peteratanasoff johnnyvatoshernandez aimeegraham heidimcneal ernestmgarcia gregorynicotero cristos mikemoroff tiatexada janinejordae ungelabrockman michelleberube michaelmckay jakemckinnon walterphelan waynetoth horror action thriller crime
15,880,Antonia's Line,2.030174,include quirky friend crooked finger wouldbe suitor,motion picture celebrates,peasant widow woman summer loss underdog suicide ii freedom and rape philosophy village homosexuality free life right single of justice university family mother war violence director feminism mathematics disabled history mentally domestic relationship world indian daughter love,willekevanammelrooy elsdottermans doravandergroen veerlevanoverloop esthervriesendorp arnebanghansen thyrzaravesteijn milseghers jandecleir elsiedebrauw reinoutbussemaker marinadegraaf wimiewilhelm franwallerzeper,drama comedy,include quirky friend crooked finger wouldbe suitor motion picture celebrates peasant widow woman summer loss underdog suicide ii freedom and rape philosophy village homosexuality free life right single of justice university family mother war violence director feminism mathematics disabled history mentally domestic relationship world indian daughter love willekevanammelrooy elsdottermans doravandergroen veerlevanoverloop esthervriesendorp arnebanghansen thyrzaravesteijn milseghers jandecleir elsiedebrauw reinoutbussemaker marinadegraaf wimiewilhelm franwallerzeper drama comedy
16,8447,Angels and Insects,2.1516599999999997,william alabaster victorian england wealthy patriarch sir,elegant seduction erotic,woman insect poor rich naturalist man class scientist society,markrylance kristinscottthomas patsykensit jeremykemp douglashenshall annettebadland chrislarkin annamassey,drama romance,william alabaster victorian england wealthy patriarch sir elegant seduction erotic woman insect poor rich naturalist man class scientist society markrylance kristinscottthomas patsykensit jeremykemp douglashenshall annettebadland chrislarkin annamassey drama romance
17,2086,Nick of Time,6.848591000000001,sinister people named smith los angeles accompanied,,train politics station assassination los angeles,johnnydepp courtneychase charlessdutton christopherwalken romamaffia peterstrauss gloriareuben marshamason miguelnájera billsmitrovich gdspradlin charlescarroll,crime drama thriller,sinister people named smith los angeles accompanied  train politics station assassination los angeles johnnydepp courtneychase charlessdutton christopherwalken romamaffia peterstrauss gloriareuben marshamason miguelnájera billsmitrovich gdspradlin charlescarroll crime drama thriller
18,2045,Unforgettable,2.464425,liotta serum wifes without consequences driven many,memory die wont,suspense experiment relationship murder wife husband animal forensic memory gunman police experimentation,rayliotta lindafiorentino petercoyote christophermcdonald davidpaymer duncanfraser colleenrennison carolineelliott stellinarusich,drama mystery sciencefiction thriller,liotta serum wifes without consequences driven many memory die wont suspense experiment relationship murder wife husband animal forensic memory gunman police experimentation rayliotta lindafiorentino petercoyote christophermcdonald davidpaymer duncanfraser colleenrennison carolineelliott stellinarusich drama mystery sciencefiction thriller
19,688,The Bridges of Madison County,5.951077,photographer robert kincaid wanders housewife francesca johnson,francesca johnsons future,peasant farewell nature wife husband housewife first sight adultery life bridge of iowa mother role photographer secret documentary at photography marriage letter relationship ones crisis unsociability love,merylstreep clinteastwood anniecorley victorslezak jimhaynie sarahkathrynschmitt christopherkroon phyllislyons debramonk richardlage michellebenes alisonwiegert,drama romance,photographer robert kincaid wanders housewife francesca johnson francesca johnsons future peasant farewell nature wife husband housewife first sight adultery life bridge of iowa mother role photographer secret documentary at photography marriage letter relationship ones crisis unsociability love merylstreep clinteastwood anniecorley victorslezak jimhaynie sarahkathrynschmitt christopherkroon phyllislyons debramonk richardlage michellebenes alisonwiegert drama romance
20,103,Taxi Driver,14.092713,mentally unstable vietnam war veteran works nighttime,every city theres,veteran obsession vietnam misanthrope vigilante night illegal dealer loner shot shift alienation drug death taxi prostitution to,robertdeniro cybillshepherd harveykeitel jodiefoster peterboyle leonardharris albertbrooks diahnneabbott ginoardito martinscorsese murraymoston richardhiggs billminkin bobmaroff victorargo joespinell frankadu brendadickson normanmatlock harrynorthup harlancarypoe stevenprince petersavage nicholasshields ralphssingleton anniegagen carsongrant marypatgreen debbimorgan donstroud,crime drama,mentally unstable vietnam war veteran works nighttime every city theres veteran obsession vietnam misanthrope vigilante night illegal dealer loner shot shift alienation drug death taxi prostitution to robertdeniro cybillshepherd harveykeitel jodiefoster peterboyle leonardharris albertbrooks diahnneabbott ginoardito martinscorsese murraymoston richardhiggs billminkin bobmaroff victorargo joespinell frankadu brendadickson normanmatlock harrynorthup harlancarypoe stevenprince petersavage nicholasshields ralphssingleton anniegagen carsongrant marypatgreen debbimorgan donstroud crime drama
21,2074,Flirting with Disaster,5.579088,child new father mel colpin ben stiller,sex love family,film for looking parents independent halfbrother birth lsd,benstiller patriciaarquette téaleoni marytylermoore alanalda georgesegal lilytomlin joshbrolin richardjenkins celiaweston glennfitzgerald bethostrosky cynthialamontagne davidpatrickkelly johnfordnoonan charletoberly nadiadajani doncreech clarkebittner tonykruk jonathanteaguecook stevemoreno toridavis shawnmichaelhoward suzannesnyder,comedy romance,child new father mel colpin ben stiller sex love family film for looking parents independent halfbrother birth lsd benstiller patriciaarquette téaleoni marytylermoore alanalda georgesegal lilytomlin joshbrolin richardjenkins celiaweston glennfitzgerald bethostrosky cynthialamontagne davidpatrickkelly johnfordnoonan charletoberly nadiadajani doncreech clarkebittner tonykruk jonathanteaguecook stevemoreno toridavis shawnmichaelhoward suzannesnyder comedy romance
22,27793,The Neverending Story III: Escape from Fantasia,6.252377,young boy must restore order bullies steal,brand new beginning,flying magic,jasonjamesrichter melodykay kevinmcnulty traceyellis jackblack carolefinn ryanbollman freddiejones juliecox moyabrady tonyrobinson thomaspetruo nicoleparker adriendorval,fantasy,young boy must restore order bullies steal brand new beginning flying magic jasonjamesrichter melodykay kevinmcnulty traceyellis jackblack carolefinn ryanbollman freddiejones juliecox moyabrady tonyrobinson thomaspetruo nicoleparker adriendorval fantasy
23,568,Apollo 13,18.761467,apollo 13 lunar mission astronauts work furiously,problem houston,spaceman spacecraft v nasa survival lunar accident disaster against rescue courage true based imax race space hypothermia story moon program apollo mission saturn time explosion florida astronaut houston cape kennedy rocket on,tomhanks billpaxton kevinbacon garysinise edharris kathleenquinlan marykateschellhardt emilyannlloyd mikohughes maxelliottslade jeanspeeglehoward tracyreiner davidandrews michelelittle chrisellis joespano xanderberkeley rogercorman andrewlipschultz markwheeler endrehules clinthoward christianclemenson brettcullen thombarry gabrieljarret jimlovell,drama,apollo 13 lunar mission astronauts work furiously problem houston spaceman spacecraft v nasa survival lunar accident disaster against rescue courage true based imax race space hypothermia story moon program apollo mission saturn time explosion florida astronaut houston cape kennedy rocket on tomhanks billpaxton kevinbacon garysinise edharris kathleenquinlan marykateschellhardt emilyannlloyd mikohughes maxelliottslade jeanspeeglehoward tracyreiner davidandrews michelelittle chrisellis joespano xanderberkeley rogercorman andrewlipschultz markwheeler endrehules clinthoward christianclemenson brettcullen thombarry gabrieljarret jimlovell drama
24,414,Batman Forever,13.321354000000001,twoface riddler formerly district attorney harvey dent,truth always courage,gotham figure dc district rose criminal partner city tommy comics tied stairs attorney broken violence beretta psychologist down out superhero father knocked super robin falling up gun riddle neck disfigurement millionaire powers,valkilmer tommyleejones jimcarrey nicolekidman chrisodonnell michaelgough pathingle drewbarrymore debimazar elizabethsanders reneauberjonois joegrifasi philipmoon jessicatuck dennispaladino donwilson bobzmuda,action crime fantasy,twoface riddler formerly district attorney harvey dent truth always courage gotham figure dc district rose criminal partner city tommy comics tied stairs attorney broken violence beretta psychologist down out superhero father knocked super robin falling up gun riddle neck disfigurement millionaire powers valkilmer tommyleejones jimcarrey nicolekidman chrisodonnell michaelgough pathingle drewbarrymore debimazar elizabethsanders reneauberjonois joegrifasi philipmoon jessicatuck dennispaladino donwilson bobzmuda action crime fantasy
25,1873,Beyond Rangoon,2.04189,bowman actual events initially left san francisco,truth witness,doctor burma rangoon,patriciaarquette francesmcdormand uaungko spaldinggray tiarajacquelina annhoward victorslezak yemyint chochomyint michaelpickells enzorossi kuswadinathbujang johnnycheah mrajoli,drama thriller,bowman actual events initially left san francisco truth witness doctor burma rangoon patriciaarquette francesmcdormand uaungko spaldinggray tiarajacquelina annhoward victorslezak yemyint chochomyint michaelpickells enzorossi kuswadinathbujang johnnycheah mrajoli drama thriller
26,8839,Casper,12.812539,harvey kat mansion hires afterlife therapist dr,afterlife get,ghost supernatural ability children mischievous young friendship afterlife heroes friends halloween danger disorder imaginary,christinaricci billpullman cathymoriarty ericidle joenipote joealaskey bradgarrett garetteratliffhenson jessicawesson amybrenneman malachipearson chaunceyleopardi spencervrooman benstein donnovello fredrogers terrymurphy ernestinemercer dougbruckner johnkassir wesleythompson michaeldubrow jjanderson jessharnell michaelmccarty micahwinkelspecht mikesimmrin devonsawa danaykroyd rodneydangerfield clinteastwood melgibson elisemain tonystefano,fantasy comedy family,harvey kat mansion hires afterlife therapist dr afterlife get ghost supernatural ability children mischievous young friendship afterlife heroes friends halloween danger disorder imaginary christinaricci billpullman cathymoriarty ericidle joenipote joealaskey bradgarrett garetteratliffhenson jessicawesson amybrenneman malachipearson chaunceyleopardi spencervrooman benstein donnovello fredrogers terrymurphy ernestinemercer dougbruckner johnkassir wesleythompson michaeldubrow jjanderson jessharnell michaelmccarty micahwinkelspecht mikesimmrin devonsawa danaykroyd rodneydangerfield clinteastwood melgibson elisemain tonystefano fantasy comedy family
27,8963,Crimson Tide,8.657364999999999,us nuclear missile sub young first officer,danger runs deep,navy for command chain carrier battle us missile post of russia power war submarine aircraft sonar code launch nuclear cold embassy mutiny dilemma moral torpedo military,denzelwashington genehackman mattcraven georgedzundza viggomortensen jamesgandolfini rockycarroll jaimegomez michaelmilhoan scottburkholder dannynucci lillobrancato ericbruskotter rickyschroder stevezahn marcellothedford ryanphillippe scottgrimes,action thriller drama,us nuclear missile sub young first officer danger runs deep navy for command chain carrier battle us missile post of russia power war submarine aircraft sonar code launch nuclear cold embassy mutiny dilemma moral torpedo military denzelwashington genehackman mattcraven georgedzundza viggomortensen jamesgandolfini rockycarroll jaimegomez michaelmilhoan scottburkholder dannynucci lillobrancato ericbruskotter rickyschroder stevezahn marcellothedford ryanphillippe scottgrimes action thriller drama
28,26564,Crumb,3.6203879999999997,crumb mother two brothers wife r robert,· weird sex,art underground biography,robertcrumb alinekominsky charlescrumb maxoncrumb martinmuller roberthughes,documentary,crumb mother two brothers wife r robert · weird sex art underground biography robertcrumb alinekominsky charlescrumb maxoncrumb martinmuller roberthughes documentary
29,1572,Die Hard: With a Vengeance,15.138855,mcclane new innocent lives thought hed seen,think fast look,federal subway simon aqueduct taxi shootout deception new city says detective car truck action hero reserve flashback agent violence bomb ship york fbi bank riddle police gold fistfight explosion helicopter robbery sequel chase dump,brucewillis jeremyirons samuelljackson grahamgreene colleencamp larrybryggman anthonypeck nicholaswyman samphillips kevinchamberlin sharonwashington stephenpearlman michaelalexanderjackson aldishodge mischahausserman michaelcristofer tonyhalme,action thriller,mcclane new innocent lives thought hed seen think fast look federal subway simon aqueduct taxi shootout deception new city says detective car truck action hero reserve flashback agent violence bomb ship york fbi bank riddle police gold fistfight explosion helicopter robbery sequel chase dump brucewillis jeremyirons samuelljackson grahamgreene colleencamp larrybryggman anthonypeck nicholaswyman samphillips kevinchamberlin sharonwashington stephenpearlman michaelalexanderjackson aldishodge mischahausserman michaelcristofer tonyhalme action thriller
30,8973,Lord of Illusions,4.102409,la ny private investigator harry damour stumbles,trust nothing except,wizardry occultism supernatural resurrection sect fanatic,scottbakula kevinjoconnor famkejanssen joelswetow danielvonbargen barrydelsherman josephlatimore sheilatousey vincentschiavelli ashleytesoro jtrevoredmond waynegrace jordanmarder susantraylor joannasanchez mcnallysagal dannywoodburn,mystery horror thriller,la ny private investigator harry damour stumbles trust nothing except wizardry occultism supernatural resurrection sect fanatic scottbakula kevinjoconnor famkejanssen joelswetow danielvonbargen barrydelsherman josephlatimore sheilatousey vincentschiavelli ashleytesoro jtrevoredmond waynegrace jordanmarder susantraylor joannasanchez mcnallysagal dannywoodburn mystery horror thriller
